vendor_row_id,canonical_brand_name,contact_person,contact_role,phone_number,email,source_sheet,source_row,note
v0288,Reflecto Film,Office,Office,0811847339,,List,344,contact_person = label departemen (tidak ada nama orang di sumber)
v0289,Regno,Office,Office,0818838887,,List,345,contact_person = label departemen (tidak ada nama orang di sumber)
v0290,Rendy Marmer Granit,Office,Office,087877960113,,List,346,contact_person = label departemen (tidak ada nama orang di sumber)
v0291,Rimba Partikel,Office,Office,08112679094,,List,347,contact_person = label departemen (tidak ada nama orang di sumber)
v0292,Roa Hand Woven,Office,Office,02122323456,,List,348,contact_person = label departemen (tidak ada nama orang di sumber)
v0293,Robries,Office,Office,089685520389,,List,349,contact_person = label departemen (tidak ada nama orang di sumber)
v0296,Rooftop,Sales,Sales,08113550057,,List,351,contact_person = label departemen (tidak ada nama orang di sumber)
v0297,Rootslab,Admin,Admin,081211903580,,List,352,contact_person = label departemen (tidak ada nama orang di sumber)
v0298,Roshan,Office,Office,087887049222,,List,353,contact_person = label departemen (tidak ada nama orang di sumber)
v0299,Rovega,Showroom,Showroom,082211222887,,List,354,contact_person = label departemen (tidak ada nama orang di sumber)
v0300,Roxy Glass,Tania,General,08119961331,,List,355,
v0300,Roxy Glass,Febry,General,089516115914,,List,356,
v0301,Rumah Mebel,Office,Office,08122224393,,List,357,contact_person = label departemen (tidak ada nama orang di sumber)
v0302,Sahabat Jaya Sukses,Office,Office,08197981688,,List,358,contact_person = label departemen (tidak ada nama orang di sumber)
v0303,Sakamurya Furniture,Office,Office,082227770281,,List,359,contact_person = label departemen (tidak ada nama orang di sumber)
v0304,Sampoerna Kayoe,Admin,Admin,08561521415,,List,360,contact_person = label departemen (tidak ada nama orang di sumber)
v0305,Samudera Solid Surface,Office,Office,089696814735,,List,361,contact_person = label departemen (tidak ada nama orang di sumber)
v0306,Sana Living,Office,Office,08113161080,,List,362,contact_person = label departemen (tidak ada nama orang di sumber)
v0308,Sans Mosaic,Sales,Sales,08116333315,,List,363,contact_person = label departemen (tidak ada nama orang di sumber)
v0311,Sentra Bata,Admin,Admin,081212609995,,List,364,contact_person = label departemen (tidak ada nama orang di sumber)
v0312,Sentra Marble,Office,Office,0812888885778,,List,365,contact_person = label departemen (tidak ada nama orang di sumber)
v0313,Sentra Marmer (Sekawan Alam Sejahtera Marmer),Kevin S,General,082115111313,,List,366,
v0314,Sentracon,Office,Office,081298899441,,List,367,contact_person = label departemen (tidak ada nama orang di sumber)
v0315,Serba Antik,Office,Office,0818184545,,List,368,contact_person = label departemen (tidak ada nama orang di sumber)
v0316,Seyven,Sales,Sales,085117005913,,List,370,contact_person = label departemen (tidak ada nama orang di sumber)
v0318,Singres,Sales,Sales,085183083592,,List,372,contact_person = label departemen (tidak ada nama orang di sumber)
v0319,Sioline,Admin,Admin,087781816390,,List,373,contact_person = label departemen (tidak ada nama orang di sumber)
v0320,Sisu Home,Yani,General,087781981520,,List,374,
v0321,Skayu,Admin,Admin,081991240547,,List,375,contact_person = label departemen (tidak ada nama orang di sumber)
v0322,Skywall,Erpandi,General,085126183993; 081224224116,,List,376,
v0323,Sol by pdm,Dhefin Liem,General,0881081905939,,List,377,
v0324,Sola Ananda Jaya,Office,Office,08118289700,,List,378,contact_person = label departemen (tidak ada nama orang di sumber)
v0326,Sors Furniture,Office,Office,082162855623,,List,379,contact_person = label departemen (tidak ada nama orang di sumber)
v0327,Soshoku,Office,Office,087799176633,,List,380,contact_person = label departemen (tidak ada nama orang di sumber)
v0329,SPF,Tifany,General,0881024988999,,List,381,
v0330,Stark Floor,Hairul Ridwan,General,08118130105,,List,382,
v0331,Startha Group - Decoedge,Office,Office,082228881388,,List,383,contact_person = label departemen (tidak ada nama orang di sumber)
v0332,Startha Group - Decofoil,Office,Office,082228881388,,List,384,contact_person = label departemen (tidak ada nama orang di sumber)
v0333,Startha Group - Decopaper,Office,Office,082228881388,,List,385,contact_person = label departemen (tidak ada nama orang di sumber)
v0334,Stuccoverni,Office,Office,087880000586,,List,386,contact_person = label departemen (tidak ada nama orang di sumber)
v0335,Studio Dekor,Admin,Admin,085939612616,,List,387,contact_person = label departemen (tidak ada nama orang di sumber)
v0336,Sufelindo,Sugi Shen,General,08111389399; 55931845,,List,388,
v0337,Sulla.Home,Office,Office,087877515001,,List,389,contact_person = label departemen (tidak ada nama orang di sumber)
v0338,Sumber Jati Furniture,Workshop,Workshop,0895328037734,,List,390,contact_person = label departemen (tidak ada nama orang di sumber)
v0339,Sunarko,Office,Office,081288012230,,List,391,contact_person = label departemen (tidak ada nama orang di sumber)
v0340,Sunbeamfabric,Sales,Sales,08111876509,,List,392,contact_person = label departemen (tidak ada nama orang di sumber)
v0341,Surya Pertiwi,Andini Zahriani,General,081213887284,,List,393,
v0342,Suzuka Group,Anita,General,087751789852,,List,394,
v0343,Taco,Panji,General,8111130496.0,,List,395,
v0344,Tanam Lokal,Admin,Admin,085894041995,,List,396,contact_person = label departemen (tidak ada nama orang di sumber)
v0345,Technal,Admin,Admin,08118363939,,List,397,contact_person = label departemen (tidak ada nama orang di sumber)
v0346,Tecnishop,Office,Office,082181900168,,List,398,contact_person = label departemen (tidak ada nama orang di sumber)
v0347,Tegel Kayu,Office,Office,08122813955,,List,400,contact_person = label departemen (tidak ada nama orang di sumber)
v0348,TEKA Parquet,Adrian,General,082125259292,,List,401,
v0349,Tera Kaiyaa,Office,Office,085858816125,,List,402,contact_person = label departemen (tidak ada nama orang di sumber)
v0350,Terakota Indonesia,Office,Office,081311117599,,List,403,contact_person = label departemen (tidak ada nama orang di sumber)
v0351,Terraesta,Admin,Admin,08113850600,,List,404,contact_person = label departemen (tidak ada nama orang di sumber)
v0352,Textura Pratta Indonesia,Admin,Admin,08988877750,,List,405,contact_person = label departemen (tidak ada nama orang di sumber)
v0353,The New Factory,Alain,General,081808997540,,List,406,
v0354,Thermotech Indonesia,Sales,Sales,08111689596,,List,407,contact_person = label departemen (tidak ada nama orang di sumber)
v0355,Titanium,Chris Project,General,085956487200,,List,408,
v0356,Tmac Decorazzo,Office,Office,02174709752,,List,409,contact_person = label departemen (tidak ada nama orang di sumber)
v0357,Tostem Indonesia,Sales,Sales,085157955146,,List,410,contact_person = label departemen (tidak ada nama orang di sumber)
v0358,Tridaya Elektrindo,Office,Office,0216519271,,List,411,contact_person = label departemen (tidak ada nama orang di sumber)
v0359,Triem Soldi Surface,Office,Office,089696814735,,List,412,contact_person = label departemen (tidak ada nama orang di sumber)
v0360,Trio Jaya Steel,Ahmad Imran,General,088219900836; 088808950883,,List,413,
v0360,Trio Jaya Steel,Office,Office,088219900836,,List,414,contact_person = label departemen (tidak ada nama orang di sumber)
v0361,Twin Fittings,Sales,Sales,081297587313,,List,415,contact_person = label departemen (tidak ada nama orang di sumber)
v0362,Ubin Kayu,Admin,Admin,081313233888,,List,416,contact_person = label departemen (tidak ada nama orang di sumber)
v0362,Ubin Kayu,Sanjaya,General,081316149275,,List,417,
v0363,UNO Office,Office,Office,02129025942,,List,419,contact_person = label departemen (tidak ada nama orang di sumber)
v0365,Up Space,Office,Office,0816667679,,List,421,contact_person = label departemen (tidak ada nama orang di sumber)
v0367,VAGG,Office,Office,087799176633,,List,422,contact_person = label departemen (tidak ada nama orang di sumber)
v0368,Varnesse,Office,Office,087787182859,,List,423,contact_person = label departemen (tidak ada nama orang di sumber)
v0369,Venus,Admin,Admin,085187000668,,List,424,contact_person = label departemen (tidak ada nama orang di sumber)
v0369,Venus,Office,Office,081293930000,,List,425,contact_person = label departemen (tidak ada nama orang di sumber)
v0370,Venus Tiles Bandung,Admin,Admin,081220671229,,List,429,contact_person = label departemen (tidak ada nama orang di sumber)
v0371,Verona Marble,Office,Office,082122361612,,List,430,contact_person = label departemen (tidak ada nama orang di sumber)
v0372,Victory Eurofit Systems,Sales,Sales,0218631864,,List,431,contact_person = label departemen (tidak ada nama orang di sumber)
v0373,Viostone,Office,Office,081282613337,,List,432,contact_person = label departemen (tidak ada nama orang di sumber)
v0374,Vivano Living,Francisca,General,081292777398,,List,434,
v0375,Vivere,Office,Office,02150986988,,List,435,contact_person = label departemen (tidak ada nama orang di sumber)
v0376,Vivere - Idemu,Robby Wijaya,General,085156813928,,List,436,
v0377,Viveria Gallery,Office,Office,085210869307,,List,437,contact_person = label departemen (tidak ada nama orang di sumber)
v0378,VQ Stone,Albe,General,08613459007918,,List,438,
v0379,VR Space,Office,Office,082281880089,,List,439,contact_person = label departemen (tidak ada nama orang di sumber)
v0380,W Tiles,Sales,Sales,08113042828,,List,449,contact_person = label departemen (tidak ada nama orang di sumber)
v0381,Wallform,Office,Office,081807590878,,List,450,contact_person = label departemen (tidak ada nama orang di sumber)
v0382,Walpix,Office,Office,081280595168,,List,451,contact_person = label departemen (tidak ada nama orang di sumber)
v0383,Wamstone,Office,Office,081210650650,,List,452,contact_person = label departemen (tidak ada nama orang di sumber)
v0384,Wellgress Tiles,Admin,Admin,08119115988; 08174839938,,List,453,contact_person = label departemen (tidak ada nama orang di sumber)
v0385,Wika WH,Sales,Sales,087785580695,,List,454,contact_person = label departemen (tidak ada nama orang di sumber)
v0386,Winston Ok,Sales,Sales,081295015898,,List,455,contact_person = label departemen (tidak ada nama orang di sumber)
v0387,Wisanaka,Workshop,Workshop,082112646496,,List,456,contact_person = label departemen (tidak ada nama orang di sumber)
v0389,Wood Concept,Office,Office,0811678178,,List,457,contact_person = label departemen (tidak ada nama orang di sumber)
v0390,Woodpecker,Office,Office,087774040033,,List,458,contact_person = label departemen (tidak ada nama orang di sumber)
v0391,WPC Wood Indonesia,Office,Office,085888656548,,List,459,contact_person = label departemen (tidak ada nama orang di sumber)
v0392,Xingfa,Benyamin Tenglewier,General,08119413139,,List,460,
v0393,Xpose Indonesia,Office,Office,08111317600,,List,461,contact_person = label departemen (tidak ada nama orang di sumber)
v0394,YKK AP Indonesia,Office,Office,0215919073,,List,462,contact_person = label departemen (tidak ada nama orang di sumber)
v0395,Zimmer,Wendra,General,08111617149,,List,463,
v0366,Vacolux,Arief,General,081287778995,,List,464,
v0175,Kingtas,Admin,Admin,081389209066,,List,465,contact_person = label departemen (tidak ada nama orang di sumber)
v0234,Morgen,Chandra,General,081999088999,,List,466,
v0188,Latif Living,Office,Office,081225349473,,List,467,contact_person = label departemen (tidak ada nama orang di sumber)
v0201,Luminova,Office,Office,081119911222,,List,468,contact_person = label departemen (tidak ada nama orang di sumber)
v0004,Adiguna Masonry Indonesia,Julianti,General,081288999028,,List,469,
v0225,MMgalleri,Lilis,General,0818162914,,List,470,
v0282,Rainbow carpet,Office,Office,08119955271,,List,471,contact_person = label departemen (tidak ada nama orang di sumber)
v0307,Sandimas,Office,Office,081297040598,,List,472,contact_person = label departemen (tidak ada nama orang di sumber)
v0309,Sanwacompany,Office,Office,082220009399,,List,473,contact_person = label departemen (tidak ada nama orang di sumber)
v0325,Somwher,Office,Office,085973642017,,List,474,contact_person = label departemen (tidak ada nama orang di sumber)
v0328,Spasium,Office,Office,082120162022,,List,475,contact_person = label departemen (tidak ada nama orang di sumber)
v0388,Wisma Sehati,Venty,General,081219908815,,List,476,
v0177,KKPL Indonesia,Esther,General,08136883616,,List,477,
v0104,Every collection,Office,Office,087881800733,,List,478,contact_person = label departemen (tidak ada nama orang di sumber)
v0155,Inovasi Adiwarna Raya,Alfian,General,0818512232,,List,479,
v0191,Lb.interiorceiling,Office,Office,,,List,480,contact_person = label departemen (tidak ada nama orang di sumber)
v0310,Selia Project,Office,Office,081382652915,,List,481,contact_person = label departemen (tidak ada nama orang di sumber)
v0205,Luxmenn,Office,Office,081273857830,,List,482,contact_person = label departemen (tidak ada nama orang di sumber)
